environment_id,env_seed,run_within_environment,algorithm_seed,algorithm,wall_clock_s,evaluatePath_calls,search_fitness_calls,rescueA_adopted,rescueB_adopted,search_time_s,topk_time_s,recovery_time_s,actual_iterations_or_nodes,planner_success,budget_reached,timed_out,exception,path_points,J,penalty_total,final_feasible,failure_reason
1,483,1,547,RA-ALA,280.8357913,4929,3240,0,0,275.1970124,1.2286181,0,80,1,1,0,0,10,17.3524910323008,0,1,none
1,483,1,558,Energy-A*,1.8339438,1673,0,0,0,NaN,NaN,NaN,100,1,0,0,0,57,21.2527116435581,0,1,none
1,483,1,569,Informed-RRT*,15.1152283,7249,0,0,0,NaN,NaN,NaN,995,1,1,1,0,37,298.003814920212,2.77121274604531,0,timeout_without_feasible_output
1,483,1,580,ST-EA*,15.0121278,14712,0,0,0,NaN,NaN,NaN,613,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
1,483,1,591,Greedy,0.1414699,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,53,3415.38837842326,33.4688340703414,0,final_hard_constraint_violation
1,483,2,600,RA-ALA,296.1623259,4931,3240,0,0,290.5170441,1.27911,0.1751905,80,0,1,0,0,10,22.4443300792516,0.0351483622965476,0,final_hard_constraint_violation
1,483,2,611,Energy-A*,1.7650489,1673,0,0,0,NaN,NaN,NaN,100,1,0,0,0,57,21.2527116435581,0,1,none
1,483,2,622,Informed-RRT*,15.0775932,7266,0,0,0,NaN,NaN,NaN,970,1,1,1,0,30,14.1181013434549,0,1,none
1,483,2,633,ST-EA*,15.0187043,15072,0,0,0,NaN,NaN,NaN,628,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
1,483,2,644,Greedy,0.1226775,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,53,3415.38837842326,33.4688340703414,0,final_hard_constraint_violation
1,483,3,653,RA-ALA,250.418015,4929,3240,0,0,245.2341693,1.0084565,0,80,1,1,0,0,10,16.2740398317633,0,1,none
1,483,3,664,Energy-A*,1.7420632,1673,0,0,0,NaN,NaN,NaN,100,1,0,0,0,57,21.2527116435581,0,1,none
1,483,3,675,Informed-RRT*,15.0863655,7213,0,0,0,NaN,NaN,NaN,956,1,1,1,0,35,15.4171120605485,0,1,none
1,483,3,686,ST-EA*,15.0240586,14928,0,0,0,NaN,NaN,NaN,622,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
1,483,3,697,Greedy,0.1233985,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,53,3415.38837842326,33.4688340703414,0,final_hard_constraint_violation
2,638,1,702,RA-ALA,214.3525455,11965,3240,0,0,201.6466979,0.5945647,0.1195411,80,0,1,0,0,83,14.8647591132087,0.0138542133858391,0,final_hard_constraint_violation
2,638,1,713,Energy-A*,9.0145995,8712,0,0,0,NaN,NaN,NaN,579,1,0,0,0,64,163.347328614456,1.51361706238471,0,final_hard_constraint_violation
2,638,1,724,Informed-RRT*,0.002988,0,0,0,0,NaN,NaN,NaN,1500,0,1,0,0,2,NaN,NaN,0,goal_not_reached
2,638,1,735,ST-EA*,0.0424886,24,0,0,0,NaN,NaN,NaN,1,0,0,0,0,2,NaN,NaN,0,goal_not_reached
2,638,1,746,Greedy,0.1064267,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,2084.78885099314,20.4529868253069,0,final_hard_constraint_violation
2,638,2,755,RA-ALA,208.7848698,11965,3240,0,0,196.6799489,0.5724151,0.1169984,80,0,1,0,0,81,15.1104580515739,0.0134119258263456,0,final_hard_constraint_violation
2,638,2,766,Energy-A*,8.9799622,8712,0,0,0,NaN,NaN,NaN,579,1,0,0,0,64,163.347328614456,1.51361706238471,0,final_hard_constraint_violation
2,638,2,777,Informed-RRT*,0.0025233,0,0,0,0,NaN,NaN,NaN,1500,0,1,0,0,2,NaN,NaN,0,goal_not_reached
2,638,2,788,ST-EA*,0.0379171,24,0,0,0,NaN,NaN,NaN,1,0,0,0,0,2,NaN,NaN,0,goal_not_reached
2,638,2,799,Greedy,0.1014606,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,2084.78885099314,20.4529868253069,0,final_hard_constraint_violation
2,638,3,808,RA-ALA,217.4560689,11965,3240,0,0,205.3232918,0.6167056,0.1310767,80,0,1,0,0,87,23.1264172745311,0.00305808913557816,0,final_hard_constraint_violation
2,638,3,819,Energy-A*,8.9673003,8712,0,0,0,NaN,NaN,NaN,579,1,0,0,0,64,163.347328614456,1.51361706238471,0,final_hard_constraint_violation
2,638,3,830,Informed-RRT*,0.0020926,0,0,0,0,NaN,NaN,NaN,1500,0,1,0,0,2,NaN,NaN,0,goal_not_reached
2,638,3,841,ST-EA*,0.0318912,24,0,0,0,NaN,NaN,NaN,1,0,0,0,0,2,NaN,NaN,0,goal_not_reached
2,638,3,852,Greedy,0.1019609,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,46,2084.78885099314,20.4529868253069,0,final_hard_constraint_violation
3,855,1,919,RA-ALA,274.6173149,7659,3240,0,0,266.8212555,0.8213827,0,80,1,1,0,0,10,20.4331635817367,0,1,none
3,855,1,930,Energy-A*,4.6006826,4408,0,0,0,NaN,NaN,NaN,274,1,0,0,0,58,116.574390981121,1.04511278195489,0,final_hard_constraint_violation
3,855,1,941,Informed-RRT*,15.0708331,7246,0,0,0,NaN,NaN,NaN,1024,1,1,1,0,31,12.6048181863127,0,1,none
3,855,1,952,ST-EA*,3.2460317,3217,0,0,0,NaN,NaN,NaN,135,1,0,0,0,56,10.0800733444076,0,1,none
3,855,1,963,Greedy,0.1098379,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,42,3257.16287616287,31.7981356013388,0,final_hard_constraint_violation
3,855,2,972,RA-ALA,224.0853008,7659,3240,0,0,216.4756909,0.6108515,0,80,1,1,0,0,10,12.5514416462592,0,1,none
3,855,2,983,Energy-A*,4.6199752,4408,0,0,0,NaN,NaN,NaN,274,1,0,0,0,58,116.574390981121,1.04511278195489,0,final_hard_constraint_violation
