Algorithm,EnvironmentSeed,AlgorithmSeed,UniqueTrial,ReachedGoal,PlannerSuccess,FailureReason,J,EnergyWh,TimeS,DynamicRisk,Pheight,Pstatic,Pdynamic,PNFZ,Pbattery,Pkinematic,Feasible,EvaluationStatus,NumericalFailure
RA-ALA,483,547,1,1,1,none,10.9349108593506,8.15383604693111,100.076807823234,0.0538581536037746,0,0,0,0,0,0,1,evaluated,0
RA-ALA,483,600,1,1,1,none,14.2080822557259,10.2101142994544,114.746500703153,0.057097753708506,0,0,0,0,0,0,1,evaluated,0
RA-ALA,483,653,1,1,1,none,11.582692246784,8.37556242093647,99.9873343046541,0.0350967733224698,0,0,0,0,0,0,1,evaluated,0
RA-ALA,638,702,1,1,1,execution_constraint_violation,151.235047513482,8.23397536500022,97.8205988004526,0.00904236212027807,1.39476481169996,0.0110497237569061,0,0,0,0,0,evaluated,0
RA-ALA,638,755,1,1,1,execution_constraint_violation,9.47087482348114,7.02677102508788,91.7284720419171,0,0.00731132783877769,0,0,0,0,0,0,evaluated,0
RA-ALA,638,808,1,1,1,execution_constraint_violation,12.6373256368418,8.18729613111483,96.0898794880488,0.0117410121574056,0.00672470906483107,0,0,0,0,0,0,evaluated,0
RA-ALA,855,919,1,1,1,none,15.5351676096806,10.4688215699344,109.778947290673,0.0149783377903816,0,0,0,0,0,0,1,evaluated,0
RA-ALA,855,972,1,1,1,none,7.26804688779822,6.46161315814858,85.6703971184415,0,0,0,0,0,0,0,1,evaluated,0
RA-ALA,855,1025,1,1,1,none,11.3820213369116,8.42830672182967,95.3962387352999,0.000632490601668396,0,0,0,0,0,0,1,evaluated,0
RA-ALA,948,1012,1,1,1,none,8.15829978489121,6.71512535054084,86.5737965397211,4.36686298008747e-05,0,0,0,0,0,0,1,evaluated,0
RA-ALA,948,1065,1,1,1,none,8.35982543324578,6.8562078496853,87.0212696096227,0.00342566853403561,0,0,0,0,0,0,1,evaluated,0
RA-ALA,948,1118,1,1,1,none,9.27750436997862,7.25548039279388,88.8059320718881,0.0019556928595471,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1041,1105,1,1,1,none,11.6353777289472,8.59263336384759,96.3632050301627,8.65873129914025e-05,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1041,1158,1,1,1,execution_constraint_violation,105.451512428028,13.1048079297605,144.089631499926,0.0174057276582073,0.829768088622575,0.0397553516819571,0,0,0,0,0,evaluated,0
RA-ALA,1041,1211,1,1,1,execution_constraint_violation,100.175279269872,9.69148667919162,114.011664307467,0,0.829836831708142,0.039877300613497,0,0,0,0,0,evaluated,0
RA-ALA,1103,1167,1,1,1,none,7.49221832334164,5.784049788273,70.5129852525987,0.0131083945624939,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1103,1220,1,1,1,none,7.13738307902341,5.56895781893055,70.7514205904272,0.00432118696897065,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1103,1273,1,1,1,none,8.44108563305448,6.11752407208882,70.5552404653062,0.0125026821805292,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1227,1291,1,1,1,none,14.3511017120232,9.53221838179634,98.4069079020996,0.000920787073964538,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1227,1344,1,1,1,none,8.84214146837704,7.17532368028695,90.4416072325564,0,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1227,1397,1,1,1,none,9.33385288672612,7.53791665506141,98.3504468082671,0.00297861981606538,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1475,1539,1,1,1,none,8.46769493903934,6.07934254071172,70.4193239403963,0,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1475,1592,1,1,1,none,7.14113683204756,5.54936213226354,67.453064073019,9.29445916241159e-05,0,0,0,0,0,0,1,evaluated,0
RA-ALA,1475,1645,1,1,1,none,7.008231061443,5.48691657433538,68.548852607184,4.35582695166917e-05,0,0,0,0,0,0,1,evaluated,0
