Configuration,ChangedComponent,Multiplier,Algorithm,N,EvaluatedN,FeasibleN,FeasibilityRate,MedianJAllEvaluated,MedianJFeasible
Base,None,1,RA-ALA,30,30,24,0.8,9.79689649358818,9.30567862835237
Base,None,1,Energy-A*,10,9,6,0.6,11.2470802029295,9.28510594559237
Base,None,1,Informed-RRT*,30,21,9,0.3,36.1535382118618,13.9221295136818
Base,None,1,ST-EA*,10,6,6,0.6,8.58397953658821,8.58397953658821
Base,None,1,Greedy,10,10,0,0,3253.08167582634,NaN
Energy 0.5x,Energy,0.5,RA-ALA,30,30,24,0.8,6.24442848225157,5.60732936638855
Energy 0.5x,Energy,0.5,Energy-A*,10,9,6,0.6,7.65175284279258,5.48037491665704
Energy 0.5x,Energy,0.5,Informed-RRT*,30,21,9,0.3,32.267835857514,9.30898827120134
Energy 0.5x,Energy,0.5,ST-EA*,10,6,6,0.6,5.10247209335685,5.10247209335685
Energy 0.5x,Energy,0.5,Greedy,10,10,0,0,3241.68117649838,NaN
Energy 1.5x,Energy,1.5,RA-ALA,30,30,24,0.8,13.3867131511593,12.9825951843315
Energy 1.5x,Energy,1.5,Energy-A*,10,9,6,0.6,14.8424075630665,13.0898369745277
Energy 1.5x,Energy,1.5,Informed-RRT*,30,21,9,0.3,40.0392405662097,18.4423326793344
Energy 1.5x,Energy,1.5,ST-EA*,10,6,6,0.6,12.0654869798196,12.0654869798196
Energy 1.5x,Energy,1.5,Greedy,10,10,0,0,3264.48217515429,NaN
Time 0.5x,Time,0.5,RA-ALA,30,30,24,0.8,9.45547793999684,8.91576950568538
Time 0.5x,Time,0.5,Energy-A*,10,9,6,0.6,10.8851875890713,8.89763249346565
Time 0.5x,Time,0.5,Informed-RRT*,30,21,9,0.3,35.8023925095499,13.537979442292
Time 0.5x,Time,0.5,ST-EA*,10,6,6,0.6,8.23382779177092,8.23382779177092
Time 0.5x,Time,0.5,Greedy,10,10,0,0,3252.57095923561,NaN
Time 1.5x,Time,1.5,RA-ALA,30,30,24,0.8,10.1444676725677,9.69558775101936
Time 1.5x,Time,1.5,Energy-A*,10,9,6,0.6,11.6089728167878,9.67257939771909
Time 1.5x,Time,1.5,Informed-RRT*,30,21,9,0.3,36.5046839141738,14.3062795850717
Time 1.5x,Time,1.5,ST-EA*,10,6,6,0.6,8.93413128140551,8.93413128140551
Time 1.5x,Time,1.5,Greedy,10,10,0,0,3253.59239241707,NaN
Climb 0.5x,Climb,0.5,RA-ALA,30,30,24,0.8,8.98099589141116,8.65390523996997
Climb 0.5x,Climb,0.5,Energy-A*,10,9,6,0.6,10.7982947582271,8.83475745385822
Climb 0.5x,Climb,0.5,Informed-RRT*,30,21,9,0.3,34.8718490047169,11.6871915421277
Climb 0.5x,Climb,0.5,ST-EA*,10,6,6,0.6,8.13756471236153,8.13756471236153
Climb 0.5x,Climb,0.5,Greedy,10,10,0,0,3245.71808571281,NaN
Climb 1.5x,Climb,1.5,RA-ALA,30,30,24,0.8,10.7803352786527,9.85792377620871
Climb 1.5x,Climb,1.5,Energy-A*,10,9,6,0.6,11.695865647632,9.73545443732651
Climb 1.5x,Climb,1.5,Informed-RRT*,30,21,9,0.3,37.4352274190068,15.8881112045317
Climb 1.5x,Climb,1.5,ST-EA*,10,6,6,0.6,9.03039436081489,9.03039436081489
Climb 1.5x,Climb,1.5,Greedy,10,10,0,0,3260.44526593986,NaN
Risk 0.5x,Risk,0.5,RA-ALA,30,30,24,0.8,9.79168953703632,9.29334284666334
Risk 0.5x,Risk,0.5,Energy-A*,10,9,6,0.6,10.0295455201624,9.28510594559237
Risk 0.5x,Risk,0.5,Informed-RRT*,30,21,9,0.3,36.0953063697357,13.9022358141309
Risk 0.5x,Risk,0.5,ST-EA*,10,6,6,0.6,8.57006378056944,8.57006378056944
Risk 0.5x,Risk,0.5,Greedy,10,10,0,0,3251.91780332253,NaN
Risk 1.5x,Risk,1.5,RA-ALA,30,30,24,0.8,9.80210345014003,9.3180144100414
Risk 1.5x,Risk,1.5,Energy-A*,10,9,6,0.6,12.4646148856967,9.28510594559237
Risk 1.5x,Risk,1.5,Informed-RRT*,30,21,9,0.3,36.211770053988,13.9420232132327
Risk 1.5x,Risk,1.5,ST-EA*,10,6,6,0.6,8.59789529260698,8.59789529260698
Risk 1.5x,Risk,1.5,Greedy,10,10,0,0,3254.24554833014,NaN
Penalty 0.5x,Penalty,0.5,RA-ALA,30,30,24,0.8,9.79689649358818,9.30567862835237
Penalty 0.5x,Penalty,0.5,Energy-A*,10,9,6,0.6,11.2470802029295,9.28510594559237
Penalty 0.5x,Penalty,0.5,Informed-RRT*,30,21,9,0.3,23.6535382118618,13.9221295136818
Penalty 0.5x,Penalty,0.5,ST-EA*,10,6,6,0.6,8.58397953658821,8.58397953658821
Penalty 0.5x,Penalty,0.5,Greedy,10,10,0,0,1646.97951644918,NaN
Penalty 1.5x,Penalty,1.5,RA-ALA,30,30,24,0.8,9.96871629311695,9.30567862835237
Penalty 1.5x,Penalty,1.5,Energy-A*,10,9,6,0.6,11.2470802029295,9.28510594559237
Penalty 1.5x,Penalty,1.5,Informed-RRT*,30,21,9,0.3,48.6535382118619,13.9221295136818
Penalty 1.5x,Penalty,1.5,ST-EA*,10,6,6,0.6,8.58397953658821,8.58397953658821
Penalty 1.5x,Penalty,1.5,Greedy,10,10,0,0,4859.18383520349,NaN
