case_id,feasible_1p5,feasible_0p75,agreement_1p5_vs_0p75,same_height_status,same_static_status,same_dynamic_status,same_nfz_status,relative_J_change,recommendation
1,0,0,1,1,1,1,1,0.00337576278975421,1.5 m classification confirmed by 0.75 m
2,1,1,1,1,1,1,1,0.00613871862005645,1.5 m classification confirmed by 0.75 m
3,1,1,1,1,1,1,1,0.00138078724298223,1.5 m classification confirmed by 0.75 m
4,0,0,1,1,1,1,1,0.144651749758912,1.5 m classification confirmed by 0.75 m
5,0,0,1,1,1,1,1,0.0170513262623308,1.5 m classification confirmed by 0.75 m
6,1,1,1,1,1,1,1,0.00192354377718397,1.5 m classification confirmed by 0.75 m
7,0,0,1,1,1,1,1,0.000244333033689835,1.5 m classification confirmed by 0.75 m
8,0,0,1,1,1,1,1,0.00536805087299489,1.5 m classification confirmed by 0.75 m
9,0,0,1,1,1,1,1,0.0251870515335293,1.5 m classification confirmed by 0.75 m
10,0,0,1,1,1,1,1,0.00416432360655844,1.5 m classification confirmed by 0.75 m
11,1,1,1,1,1,1,1,0.0036185872891707,1.5 m classification confirmed by 0.75 m
12,1,1,1,1,1,1,1,0.00050683263537321,1.5 m classification confirmed by 0.75 m
13,1,1,1,1,1,1,1,0.0140357158476236,1.5 m classification confirmed by 0.75 m
14,1,1,1,1,1,1,1,0.000301459056717221,1.5 m classification confirmed by 0.75 m
15,0,0,1,1,1,1,1,0.00691702431092186,1.5 m classification confirmed by 0.75 m
16,1,1,1,1,1,1,1,0.000335943136658791,1.5 m classification confirmed by 0.75 m
17,1,1,1,1,1,1,1,0.00124922234420616,1.5 m classification confirmed by 0.75 m
18,0,0,1,1,1,1,1,0.0864332110606083,1.5 m classification confirmed by 0.75 m
19,1,1,1,1,1,1,1,0.000545205383116139,1.5 m classification confirmed by 0.75 m
20,1,1,1,1,1,1,1,0.00391280228124095,1.5 m classification confirmed by 0.75 m
21,1,1,1,1,1,1,1,0.00442269201398659,1.5 m classification confirmed by 0.75 m
22,1,1,1,1,1,1,1,0.000460270733470472,1.5 m classification confirmed by 0.75 m
23,1,1,1,1,1,1,1,0.00301421874212517,1.5 m classification confirmed by 0.75 m
24,0,0,1,1,1,1,1,0.0906535912948184,1.5 m classification confirmed by 0.75 m
25,0,0,1,1,1,1,1,0.0180598366359267,1.5 m classification confirmed by 0.75 m
26,0,0,1,1,1,1,1,0.015159255615055,1.5 m classification confirmed by 0.75 m
27,0,0,1,1,1,1,1,0.0124825591538662,1.5 m classification confirmed by 0.75 m
28,0,0,1,1,1,1,1,0.000144910984465635,1.5 m classification confirmed by 0.75 m
29,1,1,1,1,1,1,1,0.00214643443124911,1.5 m classification confirmed by 0.75 m
30,1,1,1,1,1,1,1,0.00877060895075188,1.5 m classification confirmed by 0.75 m
